track,artist,album,genres
One Summer Dream,Electric Light Orchestra,Face the Music,"('rock', 'Progressive rock')"
Down Home Town,Electric Light Orchestra,Face the Music,"('classic rock', 'rock')"
Strange Magic,Electric Light Orchestra,Face the Music,"('classic rock', '70s')"
Poker,Electric Light Orchestra,Face the Music,"('rock', '70s')"
Nightrider,Electric Light Orchestra,Face the Music,"('classic rock', 'rock')"
Evil Woman,Electric Light Orchestra,Face the Music,"('classic rock', '70s')"
Waterfall,Electric Light Orchestra,Face the Music,"('classic rock', 'Symphonic Rock')"
Fire on High,Electric Light Orchestra,Face the Music,"('classic rock', 'instrumental')"
Thorn Tree in the Garden,Derek and the Dominos,Layla And Other Assorted Love Songs,"('blues rock', 'rock')"
Layla,Derek and the Dominos,Layla And Other Assorted Love Songs,"('classic rock', 'rock')"
It's Too Late,Derek and the Dominos,Layla And Other Assorted Love Songs,"('blues rock', 'blues')"
Little Wing,Derek and the Dominos,Layla And Other Assorted Love Songs,"('classic rock', 'blues rock')"
Have You Ever Loved a Woman?,Derek and the Dominos,Layla And Other Assorted Love Songs,"('blues',)"
Why Does Love Got to Be So Sad?,Derek and the Dominos,Layla And Other Assorted Love Songs,"('blues rock', 'classic rock')"
Tell the Truth,Derek and the Dominos,Layla And Other Assorted Love Songs,"('blues rock', 'classic rock')"
Key to the Highway,Derek and the Dominos,Layla And Other Assorted Love Songs,"('blues', 'blues rock')"
Anyday,Derek and the Dominos,Layla And Other Assorted Love Songs,"('blues rock', 'classic rock')"
I Am Yours,Derek and the Dominos,Layla And Other Assorted Love Songs,"('classic rock', 'blues rock')"
Nobody Knows You When You're Down and Out,Derek and the Dominos,Layla And Other Assorted Love Songs,"('blues', 'blues rock')"
Keep on Growing,Derek and the Dominos,Layla And Other Assorted Love Songs,"('classic rock', 'blues rock')"
Bell Bottom Blues,Derek and the Dominos,Layla And Other Assorted Love Songs,"('classic rock', 'blues rock')"
I Looked Away,Derek and the Dominos,Layla And Other Assorted Love Songs,"('blues rock', 'classic rock')"
"Shine on You Crazy Diamond, Pts. 6-9",Pink Floyd,Wish You Were Here,"('Progressive rock', 'classic rock')"
Wish You Were Here,Pink Floyd,Wish You Were Here,"('classic rock', 'Progressive rock')"
Have a Cigar,Pink Floyd,Wish You Were Here,"('Progressive rock', 'classic rock')"
Welcome to the Machine,Pink Floyd,Wish You Were Here,"('Progressive rock', 'classic rock')"
"Shine on You Crazy Diamond, Pts. 1-5",Pink Floyd,Wish You Were Here,"('Progressive rock', 'classic rock')"
Perfect,The The,Soul Mining,"('80s', 'new wave')"
Giant,The The,Soul Mining,"('new wave', '80s')"
Soul Mining,The The,Soul Mining,"('new wave', 'alternative')"
The Twilight Hour,The The,Soul Mining,"('80s', 'alternative')"
Uncertain Smile,The The,Soul Mining,"('80s', 'new wave')"
The Sinking Feeling,The The,Soul Mining,"('new wave', '80s')"
This Is The Day,The The,Soul Mining,"('80s', 'new wave')"
I've Been Waitin' for Tomorrow (All of My Life),The The,Soul Mining,"('new wave', '80s')"
Age of Consent,New Order,"Power, Corruption & Lies","('new wave', '80s')"
Face Up,New Order,Low-Life,"('new wave', '80s')"
Sub-Culture,New Order,Low-Life,"('new wave', '80s')"
Sooner Than You Think,New Order,Low-Life,"('new wave', 'electronic')"
Elegia,New Order,Low-Life,"('instrumental', 'electronic')"
Sunrise,New Order,Low-Life,"('new wave', '80s')"
This Time of Night,New Order,Low-Life,"('new wave', 'electronic')"
The Perfect Kiss,New Order,Low-Life,"('new wave', '80s')"
Love Vigilantes,New Order,Low-Life,"('new wave', '80s')"
Denial,New Order,Movement,"('post-punk', 'new wave')"
Doubts Even Here,New Order,Movement,"('post-punk', 'new wave')"
The Him,New Order,Movement,"('post-punk', 'new wave')"
ICB,New Order,Movement,"('post-punk', '80s')"
Chosen Time,New Order,Movement,"('new wave', 'post-punk')"
Senses,New Order,Movement,"('post-punk', 'new wave')"
Truth,New Order,Movement,"('new wave', 'post-punk')"
Dreams Never End,New Order,Movement,"('new wave', 'post-punk')"
Saxo,Circle,Terminal,()
Vaellus,Circle,Rautatie,()
Rakkauta Al Dente,Circle,Terminal,()
Terminal,Circle,Terminal,()
Kuivaamo,Circle,Hissi,"('instrumental', 'experimental')"
Crime Pays,Freddie Gibbs,Bandana,"('Gangsta Rap', 'rap')"
Half Manne Half Cocaine,Freddie Gibbs,Bandana,()
Freestyle S**t,Freddie Gibbs,Bandana,()
Hell for It,Danny Brown,Atrocity Exhibition,()
Get Hi,Danny Brown,Atrocity Exhibition,"('Hip-Hop', 'rap')"
Today,Danny Brown,Atrocity Exhibition,()
When It Rain,Danny Brown,Atrocity Exhibition,"('experimental hip hop', 'hip hop')"
From The Ground,Danny Brown,Atrocity Exhibition,"('kelela',)"
Dance In The Water,Danny Brown,Atrocity Exhibition,"('Avant-Garde', 'holy shit')"
Pneumonia,Danny Brown,Atrocity Exhibition,"('hip hop', 'rap')"
White Lines,Danny Brown,Atrocity Exhibition,"('Alchemist',)"
Golddust,Danny Brown,Atrocity Exhibition,"('hip hop', 'нейрогопак')"
Ain't it Funny,Danny Brown,Atrocity Exhibition,"('Hip-Hop', 'holy shit')"
Lost,Danny Brown,Atrocity Exhibition,"('experimental', 'experimental hip-hop')"
Really Doe,Danny Brown,Atrocity Exhibition,"('rap', 'hip hop')"
Rolling Stone,Danny Brown,Atrocity Exhibition,"('hip hop', 'experimental')"
Tell Me What I Don't Know,Danny Brown,Atrocity Exhibition,"('Hip-Hop', 'experimental')"
Downward Spiral,Danny Brown,Atrocity Exhibition,"('Hip-Hop', 'rap')"
Ego Death,Busdriver,Perfect Hair,"('Hip-Hop',)"
Casting Agents and Cowgirls,Busdriver,RoadKill Overcoat,"('Hip-Hop', 'hip hop')"
Imaginary Places,Busdriver,Temporary Forever,"('Hip-Hop', 'underground hip-hop')"
Worlds To Run,Busdriver,Thumbs,"('Hip-Hop', 'chill')"
Stranglehold,Ted Nugent,Ted Nugent,"('classic rock', 'hard rock')"
Working Man,Rush,Rush,"('Progressive rock', 'classic rock')"
Then Came the Last Days of May,Blue Öyster Cult,Blue Oyster Cult,"('hard rock', 'classic rock')"
Heavy Metal,Sammy Hagar,Standing Hampton,"('hard rock', 'rock')"
Turbo Lover,Judas Priest,Turbo,"('heavy metal', 'metal')"
Pull Me Under,Dream Theater,Images and Words,"('Progressive metal', 'Progressive rock')"
Freewill,Rush,Permanent Waves,"('Progressive rock', 'classic rock')"
