track,artist,album,genres
Before I Forget,Slipknot,Vol. 3: The Subliminal Verses,"('metal', 'Nu Metal')"
Outshined,Soundgarden,Badmotorfinger,"('Grunge', 'rock')"
Heaven Beside You,Alice in Chains,Alice in Chains,"('Grunge', 'rock')"
One,Metallica,...and Justice for All,"('metal', 'thrash metal')"
Aerials,System of a Down,Toxicity,"('metal', 'alternative metal')"
Duality,Slipknot,Vol. 3: The Subliminal Verses,"('metal', 'Nu Metal')"
The Struggle Within,Metallica,Metallica,"('heavy metal', 'metal')"
My Friend of Misery,Metallica,Metallica,"('metal', 'heavy metal')"
The God That Failed,Metallica,Metallica,"('metal', 'heavy metal')"
Of Wolf and Man,Metallica,Metallica,"('metal', 'heavy metal')"
Nothing Else Matters,Metallica,Metallica,"('metal', 'metallica')"
Nothing Else Matters,Metallica,Metallica,"('metal', 'metallica')"
Through the Never,Metallica,Metallica,"('metal', 'heavy metal')"
Don't Tread on Me,Metallica,Metallica,"('heavy metal', 'metal')"
Wherever I May Roam,Metallica,Metallica,"('metal', 'heavy metal')"
The Unforgiven,Metallica,Metallica,"('metal', 'heavy metal')"
Holier Than Thou,Metallica,Metallica,"('metal', 'heavy metal')"
Sad but True,Metallica,Metallica,"('metal', 'heavy metal')"
Enter Sandman,Metallica,Metallica,"('metal', 'heavy metal')"
Stay with Me,Faces,A Nod Is as Good as a Wink... To a Blind Horse,"('rock', 'classic rock')"
Wish You Were Here,Pink Floyd,Wish You Were Here,"('classic rock', 'Progressive rock')"
Sharp Dressed Man,ZZ Top,Eliminator,"('rock', 'classic rock')"
Don't Stop Believin',Journey,Escape,"('classic rock', '80s')"
Going to California,Led Zeppelin,Led Zeppelin IV,"('classic rock', 'rock')"
"Maiden, Mother & Crone",The Sword,Gods of the Earth,"('stoner metal', 'Stoner Rock')"
Use Of Time,311,Transistor,"('alternative', 'alternative rock')"
Fuck tha Police,N.W.A,Straight Outta Compton,"('Gangsta Rap', 'rap')"
Da Rockwilder,Method Man,Blackout!,"('wu-tang', 'hip hop')"
If I Ruled The World (Imagine That) (feat. Lauryn Hill),Nas,It Was Written,"('rap', 'Hip-Hop')"
Regulate,Warren G,Regulate… G Funk Era (Special Edition),"('Hip-Hop', 'rap')"
Have You Seen A Horizon Lately,Yoko Ono,Approximately Infinite Universe,"('meaningful lyrics',)"
What Did I Do!,Yoko Ono,Approximately Infinite Universe,"('alternative', 'experimental')"
I Want My Love To Rest Tonight,Yoko Ono,Approximately Infinite Universe,"('4 5 6 The Drip', '70s')"
Death Of Samantha,Yoko Ono,Approximately Infinite Universe,"('post-revolutionary pop song', 'Avantgarde Pop')"
Yang Yang,Yoko Ono,Approximately Infinite Universe,"('NewZenithSpectrum', 'experimental')"
The Lord's Prayer,Siouxsie and the Banshees,Join Hands,"('goth', 'post-punk')"
Mother / Oh Mein Papa,Siouxsie and the Banshees,Join Hands,"('punk', 'goth')"
Playground Twist,Siouxsie and the Banshees,Join Hands,"('post-punk', 'new wave')"
Premature Burial,Siouxsie and the Banshees,Join Hands,"('post-punk', 'goth')"
Icon,Siouxsie and the Banshees,Join Hands,"('post-punk', 'goth')"
Placebo Effect,Siouxsie and the Banshees,Join Hands,"('post-punk', 'new wave')"
Regal Zone,Siouxsie and the Banshees,Join Hands,"('post-punk', 'goth')"
Poppy Day,Siouxsie and the Banshees,Join Hands,"('post-punk', 'Gothic')"
I'm Cold - Sav Studio Demo 11/77,The Cure,Three Imaginary Boys,()
I Want To Be Old - 'Easy Care' Sav Studio Demo 10/77,The Cure,Three Imaginary Boys,"('hopes and wishes',)"
Pig,Sparklehorse,Good Morning Spider,"('indie', 'alternative rock')"
Personal Jesus,Depeche Mode,Violator (Deluxe),"('80s', 'new wave')"
On the Floor,En Minor,En Minor,()
Gathering of Ancient Tribes,Goat,Commune,"('rock', 'fip')"
Fazer,Quicksand,Slip,"('post-hardcore', 'rock')"
Damn the Sky,Beastwars,Beastwars,"('Stoner Rock', 'metal')"
A Fine Day to Die,Bathory,Blood Fire Death,"('black metal', 'viking metal')"
Cruel Melody,Black Light Burns,Cruel Melody,"('industrial rock', 'alternative')"
Gemini,Slayer,Undisputed Attitude,"('thrash metal', 'metal')"
Slow Learner,Viagra Boys,Street Worms,()
Digsaw,The Wytches,Annabel Dream Reader,"('Garage Rock', 'best songs of 2014')"
Death Reflects Us,Beastmilk,Climax,"('apocalyptic post-punk', 'post-punk')"
Mary,Supergrass,Supergrass,"('rock', 'britpop')"
Color Me Once,Violent Femmes,Permanent Record: The Very Best Of The Violent Femmes,"('Soundtrack', 'rock')"
Psychobilly Freakout,Reverend Horton Heat,Smoke 'em If You Got 'em,"('psychobilly', 'rockabilly')"
Gimme Danger,The Stooges,Raw Power,"('punk', 'Garage Rock')"
Comfort Eagle,Cake,Comfort Eagle,"('alternative', 'alternative rock')"
Where No Eagles Fly,The Voidz,Tyranny,()
The View from the Afternoon,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not","('indie rock', 'indie')"
King Rat,Modest Mouse,"No One's First, And You're Next","('indie', 'indie rock')"
Space Song,Beach House,Depression Cherry,"('dream pop', 'indie pop')"
YYZ,Rush,Moving Pictures (2011 Remaster),"('Progressive rock', 'instrumental')"
Heaven Beside You,Alice in Chains,Alice in Chains,"('Grunge', 'rock')"
In the Aeroplane Over the Sea,Neutral Milk Hotel,In the Aeroplane Over the Sea,"('indie', 'indie rock')"
Home,LCD Soundsystem,This Is Happening,"('electronic', 'dance')"
Somebody's Calling Me,LCD Soundsystem,This Is Happening,"('electronic', 'electro')"
Pow Pow,LCD Soundsystem,This Is Happening,"('electronic', 'indietronica')"
You Wanted a Hit,LCD Soundsystem,This Is Happening,"('electronic', 'dance')"
I Can Change,LCD Soundsystem,This Is Happening,"('electronic', 'electro')"
All I Want,LCD Soundsystem,This Is Happening,"('electronic', 'indie')"
One Touch,LCD Soundsystem,This Is Happening,"('electronic', 'dance')"
Drunk Girls,LCD Soundsystem,This Is Happening,"('indie', 'electronic')"
Dance Yrself Clean,LCD Soundsystem,This Is Happening,"('electronic', 'dance')"
Weightless,The Avalanches,We Will Always Love You,()
Music Is The Light,The Avalanches,We Will Always Love You,"('eclectonia',)"
Born To Lose,The Avalanches,We Will Always Love You,"('eclectonia',)"
Running Red Lights,The Avalanches,We Will Always Love You,()
Dial D For Devotion,The Avalanches,We Will Always Love You,()
Always Black,The Avalanches,We Will Always Love You,()
Gold Sky,The Avalanches,We Will Always Love You,()
Overcome,The Avalanches,We Will Always Love You,()
Take Care In Your Dreaming,The Avalanches,We Will Always Love You,"('hip hop', 'trap')"
Music Makes Me High,The Avalanches,We Will Always Love You,"('electronic', 'dance')"
Wherever You Go,The Avalanches,We Will Always Love You,"('neneh cherry',)"
Until Daylight Comes,The Avalanches,We Will Always Love You,()
We Go On,The Avalanches,We Will Always Love You,"('Neo-Psychedelia', 'nu-disco')"
Oh the Sunn!,The Avalanches,We Will Always Love You,"('Neo-Soul', 'Neo-Psychedelia')"
Carrier Waves,The Avalanches,We Will Always Love You,()
Reflecting Light,The Avalanches,We Will Always Love You,"('trip hop', 'Neo-Soul')"
Ghost Story Pt. 2,The Avalanches,We Will Always Love You,()
Interstellar Love,The Avalanches,We Will Always Love You,()
Solitary Ceremonies,The Avalanches,We Will Always Love You,()
The Divine Chord,The Avalanches,We Will Always Love You,"('nu-disco', 'electronic')"
We Will Always Love You,The Avalanches,We Will Always Love You,"('trip hop', 'Neo-Soul')"
Song For Barbara Payton,The Avalanches,We Will Always Love You,()
Ghost Story,The Avalanches,We Will Always Love You,()
Man of Oil,Animal Collective,Meeting of the Waters,"('ambient', 'experimental')"
FloriDada,Animal Collective,Painting With,"('psychedelic pop', 'electronic')"
My Girls,Animal Collective,Merriweather Post Pavilion,"('experimental', 'indie')"
No Children,The Mountain Goats,Tallahassee,"('folk', 'indie')"
I Want Wind to Blow,The Microphones,"The Glow, Pt. 2","('Lo-Fi', 'indie')"
In the Aeroplane Over the Sea,Neutral Milk Hotel,In the Aeroplane Over the Sea,"('indie', 'indie rock')"
King of Carrot Flowers Pt. 1,Neutral Milk Hotel,In the Aeroplane Over the Sea,"('folk', 'acoustic')"
Shame in You,Alice in Chains,Alice in Chains,"('Grunge', '90s')"
Again,Alice in Chains,Alice in Chains,"('Grunge', 'rock')"
Head Creeps,Alice in Chains,Alice in Chains,"('Grunge', 'alternative rock')"
Heaven Beside You,Alice in Chains,Alice in Chains,"('Grunge', 'rock')"
Birds,Butthole Surfers,Electriclarryland,"('punk', 'alternative rock')"
Welcome Home (Sanitarium),Metallica,Master of Puppets,"('thrash metal', 'metal')"
Secular Haze,Ghost,Infestissumam,"('heavy metal', 'hard rock')"
Angel of Death,Slayer,Reign In Blood (Expanded),"('thrash metal', 'metal')"
Deadwing,Porcupine Tree,Deadwing,"('Progressive rock', 'rock')"
Trigger,In Flames,Reroute to Remain,"('Melodic Death Metal', 'metal')"
Sad but True,Metallica,Metallica,"('metal', 'heavy metal')"
"New Person, Same Old Mistakes",Tame Impala,Currents,"('Psychedelic Rock', 'seen live')"
Love/Paranoia,Tame Impala,Currents,"('Psychedelic Rock', 'indie')"
Reality in Motion,Tame Impala,Currents,"('Psychedelic Rock', 'somafm')"
'Cause I'm a Man,Tame Impala,Currents,"('psychedelic pop', 'Psychedelic Rock')"
Disciples,Tame Impala,Currents,"('pop', 'psychedelic pop')"
Past Life,Tame Impala,Currents,"('psychedelic pop', 'indie')"
The Less I Know the Better,Tame Impala,Currents,"('indie', 'psychedelic')"
Gossip,Tame Impala,Currents,"('chill', 'Psychedelic Rock')"
Eventually,Tame Impala,Currents,"('Psychedelic Rock', 'psychedelic pop')"
Yes I'm Changing,Tame Impala,Currents,"('electronic', 'somafm')"
The Moment,Tame Impala,Currents,"('Psychedelic Rock', 'psychedelic pop')"
Let It Happen,Tame Impala,Currents,"('indie', '2015')"
The Suburbs,Arcade Fire,The Suburbs,"('indie rock', 'indie')"
Me and the Bean,Spoon,Girls Can Tell,"('indie', 'indie rock')"
Two-Headed Boy,Neutral Milk Hotel,In the Aeroplane Over the Sea,"('indie', 'folk')"
From Out of Nowhere,Faith No More,The Real Thing,"('rock', 'alternative rock')"
Not to Touch the Earth,The Doors,Waiting for the Sun,"('Psychedelic Rock', 'classic rock')"
Love Street,The Doors,Waiting for the Sun,"('classic rock', 'Psychedelic Rock')"
"Hello, I Love You",The Doors,Waiting for the Sun,"('classic rock', 'rock')"
Do It,The Doors,The Soft Parade,"('Psychedelic Rock', 'classic rock')"
Shaman's Blues,The Doors,The Soft Parade,"('classic rock', 'Psychedelic Rock')"
Touch Me,The Doors,The Soft Parade,"('classic rock', 'rock')"
Tell All the People,The Doors,The Soft Parade,"('classic rock', 'Psychedelic Rock')"
Maggie M'Gill,The Doors,Morrison Hotel,"('Psychedelic Rock', 'classic rock')"
Indian Summer,The Doors,Morrison Hotel,"('Psychedelic Rock', 'classic rock')"
Queen of the Highway,The Doors,Morrison Hotel,"('classic rock', 'Psychedelic Rock')"
The Spy,The Doors,Morrison Hotel,"('Psychedelic Rock', 'classic rock')"
Land Ho!,The Doors,Morrison Hotel,"('classic rock', 'rock')"
Ship of Fools,The Doors,Morrison Hotel,"('classic rock', 'Psychedelic Rock')"
Blue Sunday,The Doors,Morrison Hotel,"('classic rock', 'Psychedelic Rock')"
Peace Frog,The Doors,Morrison Hotel,"('classic rock', 'Psychedelic Rock')"
You Make Me Real,The Doors,Morrison Hotel,"('classic rock', 'Psychedelic Rock')"
Waiting for the Sun,The Doors,Morrison Hotel,"('Psychedelic Rock', 'classic rock')"
Roadhouse Blues,The Doors,Morrison Hotel,"('classic rock', 'rock')"
Bad Ambassador,The Divine Comedy,Regeneration,"('pop', 'indie')"
In Other Words,Shopping,Consumer Complaints,()
Mesmerizing - Remastered,Liz Phair,Exile in Guyville,()
We've Been Had,The Walkmen,Everyone Who Pretended to Like Me Is Gone,"('indie', 'indie rock')"
When You Were Mine,Prince,Dirty Mind,"('funk', 'pop')"
Don't Touch My Bikini,The Halo Benders,God Don’t Make No Junk,"('just awesome', 'indie rock')"
Nothing But Green Lights,Tom Vek,We Have Sound,"('indie', 'electronic')"
Eau D' Bedroom Dancing,Le Tigre,Le Tigre,"('indie', 'riot grrrl')"
Nobody Sees Me Like You Do,Yoko Ono,"Yes, I'm A Witch","('female vocalists', 'Love')"
Where Damage Isn't Already Done,The Radio Dept.,Lesser Matters,"('shoegaze', 'indie')"
History Lesson Part 2,Minutemen,Double Nickels on the Dime,"('pxs: loved', 'classic')"
Warrior In Woolworths,X-Ray Spex,Germ Free Adolescents: The Anthology,"('punk', 'saxophone')"
The Remote Viewer,OCS,Memory of a Cut Off Head,()
Goin' Against Your Mind,Built to Spill,You in Reverse,"('indie rock', 'indie')"
Little Fury Things,Dinosaur Jr.,You're Living All Over Me,"('indie rock', 'noise rock')"
Lost in the Plot,The Dears,No Cities Left,"('indie', 'indie rock')"
Kingdom Come,Tom Verlaine,Tom Verlaine,"('classic rock', 'rock')"
I Ran With Love But Couldn't Keep Up,Spectrals,A Spectrals Extended Play,()
Subterranean Desire,Oppenheimer Analysis,New Mexico,"('cold wave', 'minimal synth')"
Sarah,Ween,Pure Guava,"('Ween', 'rock')"
I'm in Love With a German Film Star,The Passions,Thirty Thousand Feet Over China,"('new wave', '80s')"
The Empty Boat - Remastered 2006,Caetano Veloso,Caetano Veloso - 1969,()
Pink Turns to Blue,Hüsker Dü,Zen Arcade,"('punk', '80s')"
El President,Drugstore,The Best of Drugstore,"('90s', 'thom yorke')"
Is That All There Is?,John Parish,Dance Hall At Louse Point,"('sweet', 'female vocalists')"
Faster,Manic Street Preachers,The Holy Bible,"('rock', 'alternative')"
Nothing Left To Lose,Wipers,Best Of The Wipers And Greg Sage,"('rock', 'punk')"
This Is Not,Blonde Redhead,Melody of Certain Damaged Lemons,"('indie rock', 'indie')"
"Me, I Disconnect From You - Remastered",Tubeway Army,Replicas,()
Two People in a Room,Wire,154,"('post-punk', 'punk')"
I Should Have Known Better,Wire,154,"('post-punk', 'new wave')"
"New York, I Love You But You're Bringing Me Down",LCD Soundsystem,Sound Of Silver,"('new york', 'electronic')"
Sound of Silver,LCD Soundsystem,Sound Of Silver,"('electronic', 'electronica')"
Watch the Tapes,LCD Soundsystem,Sound Of Silver,"('electronic', 'dance')"
Us v Them,LCD Soundsystem,Sound Of Silver,"('electronic', 'dance')"
All My Friends,LCD Soundsystem,Sound Of Silver,"('electronic', 'dance')"
Someone Great,LCD Soundsystem,Sound Of Silver,"('electronic', 'indie')"
North American Scum,LCD Soundsystem,Sound Of Silver,"('electronic', 'indie')"
Time to Get Away,LCD Soundsystem,Sound Of Silver,"('electronic', 'dance')"
Get Innocuous!,LCD Soundsystem,Sound Of Silver,"('electronic', 'dance')"
When the World Turns,Eternity's Children,Eternity's Children,()
The Sidewalks of the Ghetto,Eternity's Children,Eternity's Children,()
Blue Horizon,Eternity's Children,Eternity's Children,"('msixties pop',)"
Alone Again,Eternity's Children,Eternity's Children,"('sunshine pop', 'msixties pop')"
From You Unto Us,Eternity's Children,Eternity's Children,"('soft rock',)"
The Thinking Animal,Eternity's Children,Eternity's Children,"('Saturday Morning Funhouse',)"
Gypsy Minstel Man,Eternity's Children,Eternity's Children,()
Get Outta Here,Eternity's Children,Eternity's Children,"('pop',)"
Till I Hear It From You,Eternity's Children,Eternity's Children,"('msixties pop',)"
Sunshine And Flowers,Eternity's Children,Eternity's Children,"('soft rock', 'msixties pop')"
Christina In My Dreams,Eternity's Children,Eternity's Children,"('soft rock', 'sunshine pop')"
Look Away,Eternity's Children,Eternity's Children,"('pop', 'soft rock')"
The Other Side Of Me,Eternity's Children,Eternity's Children,"('soft rock', 'msixties pop')"
Nature's Child,Eternity's Children,Eternity's Children,"('soft rock',)"
I Wanna Be With You,Eternity's Children,Eternity's Children,"('soft rock', 'dreamy sun')"
Sunshine Among Us,Eternity's Children,Eternity's Children,"('soft rock', 'bag o rocks')"
Little Boy,Eternity's Children,Eternity's Children,"('downtempo', 'dreamy sun')"
You Know I've Found A Way,Eternity's Children,Eternity's Children,"('soft rock',)"
Your World,Eternity's Children,Eternity's Children,()
Mrs. Bluebird,Eternity's Children,Eternity's Children,"('60s', 'soft rock')"
Lifetime Day,Eternity's Children,Eternity's Children,"('soft rock', 'sunshine pop')"
My Happiness Day,Eternity's Children,Eternity's Children,"('soft rock', '60s')"
Flowers,Eternity's Children,Eternity's Children,()
Rupert White,Eternity's Children,Eternity's Children,"('sunshine pop', '1960s')"
Again Again,Eternity's Children,Eternity's Children,"('msixties pop',)"
"Magic of Love - Live at the Grande Ballroom, Detroit, MI - March 1968",Big Brother & The Holding Company,Cheap Thrills,()
"Catch Me Daddy - Live at the Grande Ballroom, Detroit, MI - March 1968",Big Brother & The Holding Company,Cheap Thrills,()
Flower in the Sun,Big Brother & The Holding Company,Cheap Thrills,"('classic rock', 'Psychedelic Rock')"
Roadblock,Big Brother & The Holding Company,Cheap Thrills,"('classic rock', 'rock')"
Ball and Chain,Big Brother & The Holding Company,Cheap Thrills,"('blues', 'classic rock')"
"Oh, Sweet Mary",Big Brother & The Holding Company,Cheap Thrills,"('classic rock', 'rock')"
Turtle Blues,Big Brother & The Holding Company,Cheap Thrills,"('blues', 'classic rock')"
Piece of My Heart,Big Brother & The Holding Company,Cheap Thrills,"('classic rock', '60s')"
Summertime,Big Brother & The Holding Company,Cheap Thrills,"('classic rock', 'blues')"
I Need a Man to Love,Big Brother & The Holding Company,Cheap Thrills,"('classic rock', '60s')"
Combination of the Two,Big Brother & The Holding Company,Cheap Thrills,"('classic rock', '60s')"
Little Doll,The Stooges,The Stooges,"('proto-punk', 'Garage Rock')"
Not Right,The Stooges,The Stooges,"('proto-punk', 'rock')"
Ann,The Stooges,The Stooges,"('proto-punk', 'Garage Rock')"
Real Cool Time,The Stooges,The Stooges,"('Garage Rock', 'punk')"
No Fun,The Stooges,The Stooges,"('punk', 'proto-punk')"
We Will Fall,The Stooges,The Stooges,"('psychedelic', '60s')"
I Wanna Be Your Dog,The Stooges,The Stooges,"('punk', 'rock')"
1969,The Stooges,The Stooges,"('punk', 'proto-punk')"
The King Of The Mountain Cometh - B Side,T. Rex,Electric Warrior,"('Progressive rock', 'glam rock')"
Woodland Rock,T. Rex,Electric Warrior,"('glam rock', 'pop')"
Hot Love,T. Rex,Electric Warrior,"('glam rock', '70s')"
There Was A Time / Raw Ramp / Electric Boogie - B Side,T. Rex,Electric Warrior,()
Rip Off,T. Rex,Electric Warrior,"('glam rock', 'classic rock')"
Life's a Gas,T. Rex,Electric Warrior,"('glam rock', '70s')"
The Motivator,T. Rex,Electric Warrior,"('glam rock', '70s')"
Girl,T. Rex,Electric Warrior,"('glam rock', 'classic rock')"
Planet Queen,T. Rex,Electric Warrior,"('glam rock', '70s')"
Get It On,T. Rex,Electric Warrior,"('glam rock', '70s')"
Lean Woman Blues,T. Rex,Electric Warrior,"('glam rock', '70s')"
Monolith,T. Rex,Electric Warrior,"('glam rock', '70s')"
Jeepster,T. Rex,Electric Warrior,"('glam rock', '70s')"
Cosmic Dancer,T. Rex,Electric Warrior,"('glam rock', '70s')"
Mambo Sun,T. Rex,Electric Warrior,"('glam rock', 'classic rock')"
Empire,Sean Nicholas Savage,Bermuda Waterfall,"('indie pop', '4 Stars')"
Liffey,Pillow Queens,In Waiting,()
The Zephyr Song,Red Hot Chili Peppers,By the Way,"('rock', 'alternative rock')"
Nutshell,Alice in Chains,Jar of Flies,"('Grunge', 'rock')"
Hot Pink (Bonus Track),Meat Puppets,Up on the Sun,"('rock',)"
All Apologies,Nirvana,MTV Unplugged in New York,"('Grunge', 'rock')"
Enter Sandman,Metallica,Metallica,"('metal', 'heavy metal')"
Jigolo Har Megiddo,Ghost,Infestissumam,"('hard rock', 'heavy metal')"
The Call of Ktulu,Metallica,Ride the Lightning,"('instrumental', 'thrash metal')"
Majesty,Ghost,Meliora,"('heavy metal', 'hard rock')"
Raining Blood,Slayer,Reign In Blood (Expanded),"('thrash metal', 'metal')"
Beg To Differ,Prong,Beg To Differ,"('thrash metal', 'metal')"
Deadringer,Knocked Loose,Laugh Tracks,"('extreme metallic hardcore', 'converge-core')"
New Noise,Refused,The New Noise Theology EP,"('hardcore', 'punk')"
The Last Remaining Light,Audioslave,Audioslave,"('rock', 'alternative rock')"
Monopoly On Sorrow,Suicidal Tendencies,The Art Of Rebellion,"('metal', 'hardcore')"
She Rides,Danzig,Danzig,"('heavy metal', 'metal')"
Fraccions,Soen,Cognitive,"('Progressive metal', 'schism')"
He Is,Ghost,Meliora,"('rock', 'Progressive rock')"
Blasteroid,Mastodon,The Hunter,"('Progressive metal', 'metal')"
Symphony of Destruction,Megadeth,Countdown to Extinction,"('thrash metal', 'metal')"
New Direction,Gorilla Biscuits,Start Today,"('hardcore', 'nyhc')"
Angel of Death,Slayer,Reign In Blood (Expanded),"('thrash metal', 'metal')"
Like a Stone,Audioslave,Audioslave,"('rock', 'alternative rock')"
Harvester of Sorrow,Metallica,...and Justice for All,"('thrash metal', 'metal')"
Bros,Wolf Alice,My Love Is Cool,"('indie', 'alternative')"
Reptilia,The Strokes,Room on Fire,"('indie rock', 'rock')"
Progress,Public Service Broadcasting,Progress,"('math rock', 'heard live')"
Blud,Soak,Before We Forgot How To Dream,"('acoustic', 'Mellow')"
Why'd You Only Call Me When You're High?,Arctic Monkeys,AM,"('indie', 'indie rock')"
Honey,King Gizzard & The Lizard Wizard,Honey,"('Psychedelic Rock', 'fip')"
Rabbit in Your Headlights,UNKLE,Reconstructed : The Best Of DJ Shadow (Deluxe Edition),"('trip-hop', 'electronic')"
Strangers,Portishead,Dummy,"('trip-hop', 'electronic')"
Don’t Delete The Kisses,Wolf Alice,Visions Of A Life,"('dream pop', 'electronica')"
One for the Road,Arctic Monkeys,AM,"('indie rock', 'british')"
Replica,The xx,I See You,"('indie', 'indietronica')"
Myth Takes,!!!,Myth Takes,"('indie', 'dance')"
Mysterons,Portishead,Dummy,"('trip-hop', 'electronic')"
This Fire,Franz Ferdinand,Franz Ferdinand,"('indie', 'indie rock')"
Girl I Love You,Massive Attack,Heligoland,"('trip-hop', 'electronic')"
Love/Paranoia,Tame Impala,Currents,"('Psychedelic Rock', 'indie')"
Miracle Aligner,The Last Shadow Puppets,Everything You've Come To Expect (Deluxe Edition),"('indie', 'british')"
Sense,King Gizzard & The Lizard Wizard,Paper Mâché Dream Balloon,"('acoustic', 'chill')"
The Suburbs,Arcade Fire,The Suburbs,"('indie rock', 'indie')"
WEIT WEG,Rammstein,RAMMSTEIN,"('industrial metal', 'metal')"
DIAMANT,Rammstein,RAMMSTEIN,"('industrial metal', 'acoustic')"
WAS ICH LIEBE,Rammstein,RAMMSTEIN,"('industrial metal', 'industrial')"
PUPPE,Rammstein,RAMMSTEIN,"('industrial metal', 'Gothic Metal')"
SEX,Rammstein,RAMMSTEIN,"('industrial metal', 'industrial')"
AUSLÄNDER,Rammstein,RAMMSTEIN,"('industrial metal', 'industrial')"
ZEIG DICH,Rammstein,RAMMSTEIN,"('industrial metal', 'industrial')"
RADIO,Rammstein,RAMMSTEIN,"('industrial metal', 'industrial')"
DEUTSCHLAND,Rammstein,RAMMSTEIN,"('industrial metal', 'german')"
I Stay Away,Alice in Chains,Jar of Flies,"('Grunge', 'rock')"
Killpop,Slipknot,.5: The Gray Chapter,"('metal', 'Nu Metal')"
Animal Kingdom,Meat Puppets,Up on the Sun,"('alternative', 'rock')"
Love,The Smashing Pumpkins,Mellon Collie and the Infinite Sadness,"('alternative rock', 'rock')"
B.Y.O.B.,System of a Down,Mezmerize,"('alternative metal', 'metal')"
Under The Red Cloud,Amorphis,Under The Red Cloud,"('metal', 'Progressive metal')"
Heart-Shaped Box,Nirvana,In Utero,"('Grunge', 'rock')"
Snuff,Slipknot,All Hope Is Gone,"('metal', 'Nu Metal')"
The Outsider,A Perfect Circle,Thirteenth Step,"('alternative rock', 'Progressive rock')"
Rosenrot,Rammstein,Rosenrot,"('industrial metal', 'metal')"
Dark Horse,Converge,Axe to Fall,"('hardcore', 'mathcore')"
Concubine,Converge,Jane Doe,"('hardcore', 'mathcore')"
Wretched World,Converge,Axe to Fall,"('hardcore', 'i had to change my pants after this song')"
"Farewell, Mona Lisa",The Dillinger Escape Plan,Option Paralysis,"('mathcore', 'holy shit')"
Symptom Of Terminal Illness,The Dillinger Escape Plan,Dissociation,"('hard rock', 'Progressive')"
43% Burnt,The Dillinger Escape Plan,Calculating Infinity,"('mathcore', 'hardcore')"
Unretrofied,The Dillinger Escape Plan,Miss Machine,"('mathcore', 'experimental')"
Mouth of Ghosts,The Dillinger Escape Plan,Ire Works,"('mathcore', 'experimental')"
Black Bubblegum,The Dillinger Escape Plan,Ire Works,"('mathcore', 'experimental')"
Setting Fire to Sleeping Giants,The Dillinger Escape Plan,Miss Machine,"('mathcore', 'hardcore')"
One of Us Is the Killer,The Dillinger Escape Plan,One of Us Is the Killer,"('mathcore', 'alternative')"
Milk Lizard,The Dillinger Escape Plan,Ire Works,"('mathcore', 'experimental')"
Setting Fire to Sleeping Giants,The Dillinger Escape Plan,Miss Machine,"('mathcore', 'hardcore')"
One Hundred Years,The Cure,Pornography,"('post-punk', 'new wave')"
Rusty Cage,Soundgarden,Badmotorfinger,"('Grunge', 'rock')"
The Nameless,Slipknot,Vol. 3: The Subliminal Verses,"('metal', 'Nu Metal')"
Engel,Rammstein,Sehnsucht,"('industrial metal', 'metal')"
Bottom,Tool,Undertow,"('Progressive metal', 'alternative metal')"
All Out Life,Slipknot,All Out Life,"('metal', 'groove metal')"
Unsung,Helmet,Meantime,"('alternative metal', 'alternative rock')"
Right in Two,Tool,"10,000 Days","('Progressive metal', 'Progressive rock')"
All Hope Is Gone,Slipknot,All Hope Is Gone,"('metal', 'Nu Metal')"
Face of Melinda,Opeth,Still Life (Remastered),"('Progressive metal', 'progressive death metal')"
Christian Woman,Type O Negative,Bloody Kisses (Top Shelf Edition),"('Gothic Metal', 'metal')"
Interdimensional Summit,Dimmu Borgir,Eonian,"('Symphonic Black Metal', 'symphonic metal')"
Flying Whales,Gojira,From Mars to Sirius,"('progressive death metal', 'whalecore')"
Indians,Anthrax,Among the Living,"('thrash metal', 'metal')"
Under Grass and Clover,Children of Bodom,Hexed (Deluxe Version),"('Melodic Death Metal', 'Power metal')"
Ritual,Ghost,Opus Eponymous,"('heavy metal', 'Psychedelic Rock')"
Oblivion,Mastodon,Crack the Skye,"('Progressive metal', 'Sludge')"
Everytime I Die,Children of Bodom,Follow the Reaper,"('Melodic Death Metal', 'death metal')"
Bartzabel,Behemoth,I Loved You at Your Darkest,"('black metal', 'Progressive metal')"
Repentless,Slayer,Repentless,"('thrash metal', 'metal')"
Born in Winter,Gojira,L'Enfant Sauvage (Special Edition),"('progressive death metal', 'Progressive metal')"
Faith,Ghost,Prequelle,"('Gothic Metal', 'heavy metal')"
Return to Serenity,Testament,The Ritual,"('thrash metal', 'metal ballad')"
Windowpane,Opeth,Damnation,"('Progressive metal', 'Progressive rock')"
Abigail,King Diamond,Abigail,"('heavy metal', 'metal')"
Electric Eye,Judas Priest,Screaming For Vengeance Special 30th Anniversary Edition,"('heavy metal', 'metal')"
Stillborn,Black Label Society,The Blessed Hellride,"('heavy metal', 'metal')"
Square Hammer,Ghost,Meliora (Redux),"('heavy metal', 'hard rock')"
Stillborn,Black Label Society,The Blessed Hellride,"('heavy metal', 'metal')"
The Pursuit of Vikings,Amon Amarth,Fate of Norns,"('Melodic Death Metal', 'viking metal')"
Voice of the Soul,Death,The Sound of Perseverance - Reissue,"('instrumental', 'death metal')"
Sorceress,Opeth,Sorceress,"('Progressive rock', 'Progressive metal')"
Cirice,Ghost,Meliora,"('heavy metal', 'doom metal')"
